57970,57970,57970,57970,57970,0,8
57978,57978,57978,57978,57978,0,8
57986,57986,57986,57986,57986,0,8
57994,57994,57994,57994,57994,0,8
58002,58002,58002,58002,58002,0,8
58010,58010,58010,58010,58010,0,8
58018,58018,58018,58018,58018,0,8
58026,58026,58026,58026,58026,0,8
58034,58034,58034,58034,58034,0,8
58042,58042,58042,58042,58042,0,8
58050,58050,58050,58050,58050,0,8
58058,58058,58058,58058,58058,0,8
58066,58066,58066,58066,58066,0,8
58074,58074,58074,58074,58074,0,8
58082,58082,58082,58082,58082,0,8
58090,58090,58090,58090,58090,0,8
58098,58098,58098,58098,58098,0,8
58106,58106,58106,58106,58106,0,8
58114,58114,58114,58114,58114,0,8
58122,58122,58122,58122,58122,0,8
58130,58130,58130,58130,58130,0,8
58138,58138,58138,58138,58138,0,8
58146,58146,58146,58146,58146,0,8
58154,58154,58154,58154,58154,0,8
58162,58162,58162,58162,58162,0,8
58170,58170,58170,58170,58170,0,8
58178,58178,58178,58178,58178,0,8
58186,58186,58186,58186,58186,0,8
58194,58194,58194,58194,58194,0,8
58202,58202,58202,58202,58202,0,8
58210,58210,58210,58210,58210,0,8
58218,58218,58218,58218,58218,0,8
58226,58226,58226,58226,58226,0,8
58234,58234,58234,58234,58234,0,8
58242,58242,58242,58242,58242,0,8
58250,58250,58250,58250,58250,0,8
58258,58258,58258,58258,58258,0,8
58266,58266,58266,58266,58266,0,8
58274,58274,58274,58274,58274,0,8
58282,58282,58282,58282,58282,0,8
58290,58290,58290,58290,58290,0,8
58298,58298,58298,58298,58298,0,8
58306,58306,58306,58306,58306,0,8
58314,58314,58314,58314,58314,0,8
58322,58322,58322,58322,58322,0,8
58330,58330,58330,58330,58330,0,8
58338,58338,58338,58338,58338,0,8
58346,58346,58346,58346,58346,0,8
58354,58354,58354,58354,58354,0,8
58362,58362,58362,58362,58362,0,8
58370,58370,58370,58370,58370,0,8
58378,58378,58378,58378,58378,0,8
58386,58386,58386,58386,58386,0,8
58394,58394,58394,58394,58394,0,8
58402,58402,58402,58402,58402,0,8
58410,58410,58410,58410,58410,0,8
58418,58418,58418,58418,58418,0,8
58426,58426,58426,58426,58426,0,8
58434,58434,58434,58434,58434,0,8
58442,58442,58442,58442,58442,0,8
58450,58450,58450,58450,58450,0,8
58458,58458,58458,58458,58458,0,8
58466,58466,58466,58466,58466,0,8
58474,58474,58474,58474,58474,0,8
58482,58482,58482,58482,58482,0,8
58490,58490,58490,58490,58490,0,8
58498,58498,58498,58498,58498,0,8
58506,58506,58506,58506,58506,0,8
58514,58514,58514,58514,58514,0,8
58522,58522,58522,58522,58522,0,8
58530,58530,58530,58530,58530,0,8
58538,58538,58538,58538,58538,0,8
58546,58546,58546,58546,58546,0,8
58554,58554,58554,58554,58554,0,8
58562,58562,58562,58562,58562,0,8
58570,58570,58570,58570,58570,0,8
58578,58578,58578,58578,58578,0,8
58586,58586,58586,58586,58586,0,8
58594,58594,58594,58594,58594,0,8
58602,58602,58602,58602,58602,0,8
58610,58610,58610,58610,58610,0,8
58618,58618,58618,58618,58618,0,8
58626,58626,58626,58626,58626,0,8
58634,58634,58634,58634,58634,0,8
58642,58642,58642,58642,58642,0,8
58650,58650,58650,58650,58650,0,8
58658,58658,58658,58658,58658,0,8
58666,58666,58666,58666,58666,0,8
58674,58674,58674,58674,58674,0,8
58682,58682,58682,58682,58682,0,8
58690,58690,58690,58690,58690,0,8
58698,58698,58698,58698,58698,0,8
58706,58706,58706,58706,58706,0,8
58714,58714,58714,58714,58714,0,8
58722,58722,58722,58722,58722,0,8
58730,58730,58730,58730,58730,0,8
58738,58738,58738,58738,58738,0,8
58746,58746,58746,58746,58746,0,8
58754,58754,58754,58754,58754,0,8
58762,58762,58762,58762,58762,0,8
58770,58770,58770,58770,58770,0,8
58778,58778,58778,58778,58778,0,8
58786,58786,58786,58786,58786,0,8
58794,58794,58794,58794,58794,0,8
58802,58802,58802,58802,58802,0,8
58810,58810,58810,58810,58810,0,8
58818,58818,58818,58818,58818,0,8
58826,58826,58826,58826,58826,0,8
58834,58834,58834,58834,58834,0,8
58842,58842,58842,58842,58842,0,8
58850,58850,58850,58850,58850,0,8
58858,58858,58858,58858,58858,0,8
58866,58866,58866,58866,58866,0,8
58874,58874,58874,58874,58874,0,8
58882,58882,58882,58882,58882,0,8
58890,58890,58890,58890,58890,0,8
58898,58898,58898,58898,58898,0,8
58906,58906,58906,58906,58906,0,8
58914,58914,58914,58914,58914,0,8
58922,58922,58922,58922,58922,0,8
58930,58930,58930,58930,58930,0,8
58938,58938,58938,58938,58938,0,8
58946,58946,58946,58946,58946,0,8
58954,58954,58954,58954,58954,0,8
58962,58962,58962,58962,58962,0,8
58970,58970,58970,58970,58970,0,8
58978,58978,58978,58978,58978,0,8
58986,58986,58986,58986,58986,0,8
58994,58994,58994,58994,58994,0,8
59002,59002,59002,59002,59002,0,8
59010,59010,59010,59010,59010,0,8
59018,59018,59018,59018,59018,0,8
